time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-22T01:46:43.420Z,37.2302,-117.6285,5.8,1.3,ml,7,168.5,0.026,,nn,nn00557064,2016-08-22T01:48:10.473Z,"59km E of Big Pine, California",earthquake,,,,,automatic,nn,nn
2016-08-22T01:29:40.500Z,38.0167,-119.0503,30.9,1.3,ml,6,205.41,0.286,,nn,nn00557063,2016-08-22T01:32:01.559Z,"30km SSE of Bridgeport, California",earthquake,,,,,automatic,nn,nn
2016-08-22T01:26:40.000Z,58.8282,-134.3607,5,2.6,ml,,,,0.63,ak,ak13866271,2016-08-22T01:38:25.949Z,"58km N of Juneau, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-22T01:25:40.800Z,38.7748337,-122.7525024,0.88,1.34,md,16,85,0.01114,0.04,nc,nc72682656,2016-08-22T01:27:19.302Z,"0km SE of The Geysers, California",earthquake,0.28,0.45,0.18,6,automatic,nc,nc
2016-08-22T01:12:12.620Z,19.2544994,-157.2676697,6.9,2.45,md,20,337,1.296,0.16,hv,hv61382931,2016-08-22T01:15:47.450Z,"140km WSW of Kailua-Kona, Hawaii",earthquake,10.95,13.61,0.17,6,automatic,hv,hv
2016-08-22T01:09:20.090Z,34.105,-117.4826667,8.86,1.24,ml,35,33,0.03683,0.14,ci,ci37667912,2016-08-22T01:20:15.090Z,"2km WNW of Fontana, CA",earthquake,0.23,0.6,0.193,29,automatic,ci,ci
2016-08-22T00:55:22.000Z,62.7839,-149.3966,80,1.5,ml,,,,0.2,ak,ak13866268,2016-08-22T01:07:39.942Z,"63km NE of Talkeetna, Alaska",earthquake,1.1,0.9,,,automatic,ak,ak
2016-08-22T00:45:48.340Z,35.9713326,-120.5313339,6.31,1.71,md,29,85,0.02169,0.07,nc,nc72682581,2016-08-22T00:48:37.204Z,"24km SW of Coalinga, California",earthquake,0.23,0.29,0.16,16,automatic,nc,nc
2016-08-22T00:44:05.670Z,37.6276665,-118.892334,1.61,1.26,md,14,104,0.008526,0.02,nc,nc72682571,2016-08-22T00:45:46.771Z,"7km ESE of Mammoth Lakes, California",earthquake,0.44,0.35,0.43,12,automatic,nc,nc
2016-08-22T00:39:15.140Z,33.2816667,-116.1026667,0.71,1.12,ml,28,92,0.1548,0.27,ci,ci37667848,2016-08-22T00:42:59.062Z,"14km W of Salton City, CA",earthquake,0.54,31.61,0.146,27,automatic,ci,ci
